countrycode,period,group,emp,emp_ref,index
IND,2021Q3,1,152085163.72,164944770.635,92.20368923155708
IND,2021Q3,2,171909070.72,176734281.85375,97.26979333995715
IND,2021Q3,3,91443008.54999998,90065926.96875,101.52897064139226
IND,2021Q4,1,151469757.12,164944770.635,91.8305906497525
IND,2021Q4,2,178966206.04999992,176734281.85375,101.26286998359315
IND,2021Q4,3,90223033.85000001,90065926.96875,100.17443542362531
IND,2022Q1,1,158261184.95999998,164944770.635,95.94798571105363
IND,2022Q1,2,168511165.15499997,176734281.85375,95.34718640181265
IND,2022Q1,3,94083005.00500003,90065926.96875,104.46015288072682
IND,2022Q2,1,165033152.6,164944770.635,100.05358276267853
IND,2022Q2,2,160751761.87500003,176734281.85375,90.95675167765374
IND,2022Q2,3,90097398.25499998,90065926.96875,100.03494249968793
IND,2022Q3,1,167394117.665,164944770.635,101.48494979293407
IND,2022Q3,2,183994657.02500007,176734281.85375,104.1080740505445
IND,2022Q3,3,88250008.66,90065926.96875,97.98378990827456
IND,2022Q4,1,169090627.31499997,164944770.635,102.51348173333375
IND,2022Q4,2,193679543.35999995,176734281.85375,109.58798786998915
IND,2022Q4,3,87833295.955,90065926.96875,97.52111471131069
IND,2023Q1,1,180052032.865,164944770.635,109.15898222892456
IND,2023Q1,2,184162617.58499995,176734281.85375,104.20310969288744
IND,2023Q1,3,94252642.33500001,90065926.96875,104.64850083395318
IND,2023Q2,1,186306289.465,164944770.635,112.95070995446719
IND,2023Q2,2,180064514.63000005,176734281.85375,101.88431624092368
IND,2023Q2,3,89564090.15499999,90065926.96875,99.4428116929012
IND,2023Q3,1,194944993.88999996,164944770.635,118.18804145139364
IND,2023Q3,2,204048350.58,176734281.85375,115.45487861197907
IND,2023Q3,3,94674697.345,90065926.96875,105.11710758037177
IND,2023Q4,1,188050912.52999997,164944770.635,114.00841130400592
IND,2023Q4,2,198001351.87499997,176734281.85375,112.03335866600503
IND,2023Q4,3,93356190.67499998,90065926.96875,103.65317253370588
IND,2024Q1,1,196578640.14999995,164944770.635,119.17846161064503
IND,2024Q1,2,196527785.69499984,176734281.85375,111.1995837104367
IND,2024Q1,3,96488109.97999999,90065926.96875,107.13053562806084
IND,2024Q2,1,192752704.445,164944770.635,116.85893629906893
IND,2024Q2,2,188362991.49,176734281.85375,106.579770214515
IND,2024Q2,3,90318467.00999999,90065926.96875,100.28039465061812
IND,2024Q3,1,192588666.72500002,164944770.635,116.75948621079488
IND,2024Q3,2,195732073.04499996,176734281.85375,110.74935263944485
IND,2024Q3,3,95865613.57500002,90065926.96875,106.43937924300977
IND,2024Q4,1,191195911.445,164944770.635,115.91510946902959
IND,2024Q4,2,198467151.72999996,176734281.85375,112.2969180898555
IND,2024Q4,3,96292077.28999998,90065926.96875,106.91288096486284
