term,coef,se,n_cells,n_clusters,subset
post_x_treat,0.019153260310352655,0.01974905921133909,51939,544,all
post_x_treat_x_young,0.00902235770785775,0.01600920423140687,51939,544,all
post_x_treat,0.028175618018210436,0.018045731765485813,21659,307,young
post_x_treat,0.019153260310352666,0.019748869088940527,30280,544,older
post_x_treat,-0.014204679075576855,0.03783837135689442,2772,31,country_ARG
post_x_treat,0.030329232459549972,0.02368143777958041,14960,111,country_BRA
post_x_treat,-0.024762764016105825,0.030569962615843747,8892,101,country_COL
post_x_treat,-0.08028329381534903,0.028705442788604145,5415,82,country_ECU
post_x_treat,-0.00525266400648272,0.095127981998864,900,25,country_GEO
post_x_treat,0.03180758445876653,0.021721215162015892,7084,39,country_MEX
post_x_treat,0.10465925654901062,0.04437869037303918,4860,69,country_PER
post_x_treat,0.007132136600272666,0.08935130415275652,5220,40,country_PHL
post_x_treat,0.030165988115623436,0.041755876500904746,1836,46,country_ZAF
