term,coef,se,n_cells,n_clusters,subset
post_x_treat,-0.0040393762044400325,0.0024004720327511562,35807,410,all
post_x_treat_x_young,-0.0048434729718340366,0.004340517647160651,35807,410,all
post_x_treat,-0.008882849176274075,0.00479980642448333,14297,236,young
post_x_treat,-0.004039376204440022,0.0024004385119893693,21510,410,older
post_x_treat,0.0014234940047194514,0.004345840033132566,2772,31,country_ARG
post_x_treat,-0.009044497295978268,0.0033902618119814607,14960,111,country_BRA
post_x_treat,0.0025084146870418622,0.005886400719529999,8892,101,country_COL
post_x_treat,0.009043916335756871,0.0038213261090635025,5415,82,country_ECU
post_x_treat,0.007178421219996516,0.007090726602448499,1932,39,country_MEX
post_x_treat,-0.011619158413434876,0.010112590863996547,1836,46,country_ZAF
