term,coef,se,n_cells,n_clusters,subset
post_x_treat,-0.04054604406119802,0.09160123856139163,56009,611,all
post_x_treat_x_young,0.07558558004478629,0.05112231006312771,56009,611,all
post_x_treat,0.03503953598358835,0.048123649747508886,23031,332,young
post_x_treat,-0.04054604406119816,0.09160042080636169,32978,611,older
post_x_treat,-0.014204679075576855,0.03783837135689442,2772,31,country_ARG
post_x_treat,0.030329232459549972,0.02368143777958041,14960,111,country_BRA
post_x_treat,-0.024762764016105825,0.030569962615843747,8892,101,country_COL
post_x_treat,-0.08028329381534903,0.028705442788604145,5415,82,country_ECU
post_x_treat,-0.00525266400648272,0.095127981998864,900,25,country_GEO
post_x_treat,-0.0772870216090356,0.18432107478600093,3780,67,country_IND
post_x_treat,0.03180758445876653,0.021721215162015892,7084,39,country_MEX
post_x_treat,0.10465925654901062,0.04437869037303918,4860,69,country_PER
post_x_treat,0.008021138082086586,0.08886963687141755,5510,40,country_PHL
post_x_treat,0.030165988115623436,0.041755876500904746,1836,46,country_ZAF
