term,coef,se,n_cells,n_clusters,subset
post_x_treat,0.03306160087331826,0.020673257592321154,52229,544,all
post_x_treat_x_young,-0.014575614991430678,0.020935054737343462,52229,544,all
post_x_treat,0.018485985881887573,0.025601466147719912,21807,307,young
post_x_treat,0.03306160087331826,0.020673059677825584,30422,544,older
post_x_treat,-0.04774216452036016,0.03041715666647265,2772,31,country_ARG
post_x_treat,0.018590158265169687,0.02751600141133708,14960,111,country_BRA
post_x_treat,0.04205826955713998,0.049844164286937255,8892,101,country_COL
post_x_treat,-0.06396712414684479,0.03877450425579508,5415,82,country_ECU
post_x_treat,-0.2129285018332463,0.12928018687272166,900,25,country_GEO
post_x_treat,0.012919467204229911,0.0373692504233658,7084,39,country_MEX
post_x_treat,0.05266604908215414,0.06194546770913469,4860,69,country_PER
post_x_treat,0.11403692685272392,0.060819922392065,5510,40,country_PHL
post_x_treat,0.01224885865051935,0.09437315450722275,1836,46,country_ZAF
